../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_16384_AssL1_2_MSizeLL_8388608_AssLL_2_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	92799458422	36104426534	23232609620	676269770	2322298638	1054513475	54086	103182	154959	-491440013799340	-2235794080230654	-962111958832484	2.66410889399 %	0.728743229217 %	5.69090121764 %	0.000205228206993 %	5.82826677221e-05 %	0.000435041951421 %
InvQuant	7603817254	2881192842	420696430	26246506	24291435	39193289	708	0	5	85029153965	30422082016	1018196355	0.822791533827 %	0.345175391823 %	1.92267876874 %	6.53786160759e-06 %	9.31111277862e-06 %	1.51428457714e-07 %
Quant	234555319020	88406592054	52579093974	537129362	2971970249	4100921927	28647	36611	366965	10033486468720	-1531217068740	-4621008180587	2.02641560727 %	0.22899901151 %	5.01674487337 %	0.000115093423671 %	1.22133235433e-05 %	0.000286253173191 %
InvTransf	27715810672	14565046188	2669190942	98992146	116527065	146524086	9998	3287	6033	1808160456307	424039896084	-438703194360	0.805434731893 %	0.357168502742 %	1.52632895217 %	4.29765950085e-05 %	3.60732728273e-05 %	5.40784017865e-05 %
Transf	167064817348	71795369932	31055290882	1174250572	2790872578	1482969156	63911	30196	2789344	-107647538775173	-521032404585841	-260506255988616	2.0184438266 %	0.702871251195 %	4.1553857799 %	0.00106827923305 %	3.82552119677e-05 %	0.00274139220661 %
Misc	42259492330	14324152942	7836979502	164101872	523238038	227220403	26896	109988	157847	-3659727918894	-77538303857164	-32260582892656	1.41967004544 %	0.388319553672 %	3.38637225736 %	0.000457510309833 %	6.36448724702e-05 %	0.00120857993461 %
Inter/Intra	1066544543262	367425546818	183027398730	298219504	3566788718	594573143	24147	836385	70009	278758415725208	-108418083734447	13531921663165	0.275793957372 %	0.0279612798063 %	0.755988662547 %	5.75474610468e-05 %	2.26404046156e-06 %	0.000164663302709 %
Inter	886362713368	453046993300	62801646754	970864620	5480889278	3903789927	69988	3902490	1346677	294655924940940	-984692639207692	-695090840761252	0.738515188864 %	0.109533558368 %	1.81926993236 %	0.000379340460125 %	7.89609027371e-06 %	0.00101757891607 %
Intra	27792987200	9631666528	4915700020	225134404	331254120	217094894	13646	31624	868609	1060648528144	-3400130273760	-2296018390015	1.82682323016 %	0.810040325568 %	3.76940398244 %	0.00215841134781 %	4.9098716528e-05 %	0.0061882884234 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_16384_AssL1_4_MSizeLL_16777216_AssLL_1_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	143417344834	55797750098	35904942140	1045144190	2898247478	1424050048	80361	147345	357230	-1916442746982831	-7627510762942356	-3388432063202596	2.28285167987 %	0.728743229217 %	4.71338127651 %	0.000248781859379 %	5.60329715301e-05 %	0.000550229211036 %
InvQuant	11751353938	4452752574	650167210	40562782	29034415	54982268	1092	0	5	197130278647	69358400296	-1628407845	0.739156531185 %	0.345175391823 %	1.64644334139 %	6.50873492441e-06 %	9.29254625264e-06 %	9.7983119697e-08 %
Quant	362494583940	136628369538	81258599778	830109014	3948313921	5503783649	43348	106942	579335	22669238325116	-7893751065437	-17192508529802	1.77162877185 %	0.22899901151 %	4.33807381858 %	0.000125714712314 %	1.1958247632e-05 %	0.000314969271524 %
InvTransf	42833525584	22509616836	4125113274	152987862	137765237	217197861	15338	5565	41346	3749112337049	542822315340	-1776515658617	0.731198667543 %	0.357168502742 %	1.33270769606 %	8.96078350869e-05 %	3.58083995909e-05 %	0.000176127183592 %
Transf	258191081356	110956480804	47994540454	1814750884	3440144528	2072663841	98556	57963	4312114	-498487533452828	-1734878773174465	-902372233569746	1.7566098476 %	0.702871251195 %	3.46824344088 %	0.00107124957466 %	3.81717290475e-05 %	0.00274932300869 %
Misc	65310124510	22137327274	12111695594	253611984	688188832	321268891	46107	159811	236842	-38340652260848	-270075358475974	-114698220433821	1.26866263951 %	0.388319553672 %	2.9474059067 %	0.000444720562259 %	7.05970174547e-05 %	0.00115814399006 %
Inter/Intra	1648296112314	567839481446	282860525310	460884688	4558217239	764889578	38441	1312052	118892	638362531608379	-450706384866347	729042543551	0.231452600541 %	0.0279612798063 %	0.625732546694 %	5.87990108823e-05 %	2.33216590835e-06 %	0.000168207827511 %
Inter	1369833284296	700163535100	97057090438	1500427140	7101044479	5608724578	109951	5840170	2048737	481703231360434	-3325757024954420	-2451179658265777	0.655738010601 %	0.109533558368 %	1.59425993882 %	0.000369112091015 %	8.02659719694e-06 %	0.000989551291987 %
Intra	42952798400	14885302816	7596990940	347934988	419391337	293282076	21872	39986	1336736	-989665683468	-12636413703804	-8561122992256	1.62085566942 %	0.810040325568 %	3.1699319506 %	0.00213737606828 %	5.0921012867e-05 %	0.00612358336272 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_8192_AssL1_4_MSizeLL_16777216_AssLL_2_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	71708672417	27898875049	17952471070	522572095	1848777209	840639836	41888	66409	120084	-215746718976894	-1073952638994485	-451647269597138	2.73221217553 %	0.728743229217 %	5.86551382378 %	0.000194267577399 %	5.84141340066e-05 %	0.000406733969197 %
InvQuant	5875676969	2226376287	325083605	20281391	19081402	30706470	540	0	5	51725021718	18649451026	1063127579	0.831471757914 %	0.345175391823 %	1.95134840865 %	6.46720243173e-06 %	9.19043035975e-06 %	1.95966239394e-07 %
Quant	181247291970	68314184769	40629299889	415054507	2440391048	3401557676	21664	17697	288856	6166785498090	-413329387349	-2028722344756	2.15616888438 %	0.22899901151 %	5.36236631529 %	0.000113103870431 %	1.19527303082e-05 %	0.000281387180667 %
InvTransf	21416762792	11254808418	2062556637	76493931	98748702	116291604	7615	2508	4388	1145217908518	314206264944	-182469172931	0.839330811138 %	0.357168502742 %	1.6147361367 %	4.17773552971e-05 %	3.55562606448e-05 %	5.17820152224e-05 %
Transf	129095540678	55478240402	23997270227	907375442	2278515256	1202392945	48678	15642	2131131	-38877470360273	-253407549931194	-123932604715444	2.10397541533 %	0.702871251195 %	4.3798500613 %	0.00105261539712 %	3.77069569904e-05 %	0.00270117547281 %
Misc	32655062255	11068663637	6055847797	126805992	427862655	179532721	20467	79785	117441	961017786469	-36476435656554	-15157216506641	1.47490489289 %	0.388319553672 %	3.54693550436 %	0.000437313909838 %	6.26763465957e-05 %	0.00115171752934 %
Inter/Intra	824148056157	283919740723	141430262655	230442344	2877847545	469055043	18291	681797	56460	170283239050675	-42494189269565	11755902828555	0.286302560032 %	0.0279612798063 %	0.786858483936 %	6.05481532546e-05 %	2.21938277514e-06 %	0.000173564592485 %
Inter	684916642148	350081767550	48528545219	750213570	4330871405	3084593628	53482	2963262	1020995	200680806290248	-480649054674730	-329127208291891	0.753620255218 %	0.109533558368 %	1.86032944845 %	0.000372647766784 %	7.80854146459e-06 %	0.000999536859025 %
Intra	21476399200	7442651408	3798495470	173967494	270348022	176217448	10499	21424	673090	1012353229737	-1500235737116	-1019188289682	1.89663663198 %	0.810040325568 %	3.97259705657 %	0.0021548468162 %	4.88862211129e-05 %	0.00617831977055 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_32768_AssL1_2_MSizeLL_8388608_AssLL_4_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	189817074045	73849963365	47521246950	1383279075	3299286866	1720794100	104895	250623	982514	-4547006003169081	-16372451391234080	-7478376812566486	2.05771244061 %	0.728743229217 %	4.13613817723 %	0.000429975056019 %	5.52610983642e-05 %	0.00101600453419 %
InvQuant	15553262565	5893348995	860515425	53686035	33936216	66460998	1452	5950	5	338379647790	117854625195	-8675604552	0.690735517414 %	0.345175391823 %	1.48651509353 %	3.3204634577e-05 %	9.33566185186e-06 %	8.81717433114e-05 %
Quant	479772243450	180831665565	107548146765	1098673695	4481804351	6276007903	57429	164227	1859394	37952460904756	-19682137610498	-38616334411276	1.54350767661 %	0.22899901151 %	3.73043181042 %	0.000270916413533 %	1.19700547049e-05 %	0.000701720756266 %
InvTransf	56691430920	29792139930	5459708745	202483935	157351675	270423042	20391	7233	126985	5701908076003	374990361932	-4235215785592	0.685486372442 %	0.357168502742 %	1.2134816558 %	0.000168156934015 %	3.59683988728e-05 %	0.000380740315884 %
Transf	341723490030	146854165770	63522185895	2401876170	3996579451	2477882406	133501	167081	10517483	-1258793561793287	-3678943073747251	-1989552137624981	1.60774145483 %	0.702871251195 %	3.07756162029 %	0.00195943997498 %	3.90669660983e-05 %	0.00507878566932 %
Misc	86439870675	29299403745	16030185345	335662920	801083576	392584626	59477	226715	306371	-114196319982666	-589368543552117	-256668083051750	1.16061121046 %	0.388319553672 %	2.63330911655 %	0.000449696766654 %	6.88073680994e-05 %	0.00117602213191 %
Inter/Intra	2181568383945	751552254855	374374224675	609994440	5295791073	890082329	50634	2315304	218781	1081886719775172	-1047015287711128	-41633875454440	0.205468734572 %	0.0279612798063 %	0.549402959648 %	7.81473322466e-05 %	2.32099073183e-06 %	0.000225066649206 %
Inter	1813014640980	926687031750	128457913815	1985859450	8640990478	6873729463	145972	7468821	3262540	499907781111278	-7194579804619819	-5480106001369173	0.610167560867 %	0.109533558368 %	1.47038755255 %	0.000379244343691 %	8.0513414895e-06 %	0.00101705088435 %
Intra	56849292000	19701136080	10054840950	460502190	487166552	347901778	28952	50337	1769874	-7295615065955	-28114746751340	-19331369476255	1.49594884296 %	0.810040325568 %	2.80638854224 %	0.00213516223748 %	5.09276351234e-05 %	0.00611712731921 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_8192_AssL1_2_MSizeLL_16777216_AssLL_4_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	50617886412	19693323564	12672332520	368874420	1367848134	611223471	26177	47531	86873	-68509466774382	-399130065602650	-161816065100996	2.82941165727 %	0.728743229217 %	6.11472728952 %	0.000193509454007 %	5.17149210596e-05 %	0.000415267342801 %
InvQuant	4147536684	1571559732	229470780	14316276	15007197	22393515	384	0	5	26524716050	9648286226	776498954	0.869402434166 %	0.345175391823 %	2.0766284497 %	6.53938985949e-06 %	9.25850762168e-06 %	2.77618839142e-07 %
Quant	127939264920	48221777484	28679505804	292979652	2080772253	2747481921	14779	12839	201051	3194173414404	101680738102	-593840019115	2.50010745958 %	0.22899901151 %	6.27850923621 %	0.00011163268308 %	1.15515748893e-05 %	0.000278135800672 %
InvTransf	15117714912	7944570648	1455922332	53995716	87342927	84979254	5340	1778	3256	608458458482	197147815363	-49506040619	0.923060518929 %	0.357168502742 %	1.83311855417 %	4.23114121786e-05 %	3.53227986576e-05 %	5.35503830566e-05 %
Transf	91126264008	39161110872	16939249572	640500312	1779902256	899612520	33370	10343	1472735	-6502946223492	-94473963566398	-45056998052990	2.25503715809 %	0.702871251195 %	4.77628798602 %	0.00103000935167 %	3.66195194802e-05 %	0.00264361581327 %
Misc	23050632180	7813174332	4274716092	89510112	315858240	132778341	14045	56894	80468	2098861206265	-13030798263018	-5414570149610	1.53150062416 %	0.388319553672 %	3.71145473084 %	0.000430886072549 %	6.09310837565e-05 %	0.00113636040022 %
Inter/Intra	581751569052	200413934628	99833126580	162665184	2225644140	380534703	12674	521207	42307	87568968534416	-8839213059315	8059941012933	0.313928381746 %	0.0279612798063 %	0.868011441149 %	6.53275390949e-05 %	2.17859317864e-06 %	0.000187683435679 %
Inter	483470570928	247116541800	34255443684	529562520	3542331990	2251490733	35418	2135083	703049	113655661147549	-177947504739780	-119813440332311	0.826756459874 %	0.109533558368 %	2.05913275731 %	0.000375704774258 %	7.32578198752e-06 %	0.00100867611078 %
Intra	15159811200	5253636288	2681290920	122800584	206810592	128501088	7186	13387	478231	703299443466	-458628526362	-324342381414	1.98362179258 %	0.810040325568 %	4.22576882195 %	0.00215981662658 %	4.74016457408e-05 %	0.0061956207929 %
../profilingCallsCacheHM/15_09/04/BasketballPass__QP_32_nF_8_MSizeL1_8192_AssL1_4_MSizeLL_16777216_AssLL_4_Word_32.csv																		
RESULTS	Instruction Read	Data Read	Data Write	 L1 Instruction Misses (Read)	L1 Data Misses (Read)	L1 Data Misses (Write)	LL Instruction Misses (Read)	LL Data Misses (Read)	LL Data Misses (Write)	Intruction Hits (Read)	Data Hits (Read)	Data Hits(Write)	L1 Miss Rate	L1 Instruction Miss Rate	L1 Data Miss Rate	LL Miss Rate	LL Instruction Miss Rate	LL Data Miss Rate
Entropy	75926829618	29539985346	19008498780	553311630	1944963024	886523109	42601	66542	125335	-259329540681266	-1263382505288756	-534275729112786	2.71925224463 %	0.728743229217 %	5.83228536168 %	0.000188373094188 %	5.61079663333e-05 %	0.000395227582188 %
InvQuant	6221305026	2357339598	344206170	21474414	19896243	32369061	576	0	5	57742314267	20786144554	1087364165	0.826414334414 %	0.345175391823 %	1.93464440318 %	6.51137190808e-06 %	9.25850762168e-06 %	1.85079226094e-07 %
Quant	191908897380	72332666226	43019258706	439469478	2512314807	3532372827	22167	17910	292033	6870161242410	-582791955232	-2445817715717	2.11031040769 %	0.22899901151 %	5.24021392583 %	0.000108087323825 %	1.15507932684e-05 %	0.000268693392141 %
InvTransf	22676572368	11916855972	2183883498	80993574	101029857	122554074	8010	2667	4404	1268593790394	337326318691	-222659114022	0.828166850099 %	0.357168502742 %	1.58561848104 %	4.10062596919e-05 %	3.53227986576e-05 %	5.01463062632e-05 %
Transf	136689396012	58741666308	25408874358	960750468	2378237856	1262949030	50271	15888	2183139	-49306480521742	-297457483343066	-146178172230601	2.08383384963 %	0.702871251195 %	4.32699167133 %	0.00101851958203 %	3.67775419796e-05 %	0.00261320602648 %
Misc	34575948270	11719761498	6412074138	134265168	450263538	188883597	21161	80645	118760	365664861529	-43140712103689	-17924727603577	1.46735879539 %	0.388319553672 %	3.52499960749 %	0.000418469500432 %	6.12015029487e-05 %	0.00109975075885 %
Inter/Intra	872627353578	300620901942	149749689870	243997776	3008288226	486759111	19011	688190	57095	189948636224580	-52789348950752	12314890494741	0.282619117137 %	0.0279612798063 %	0.77603808964 %	5.77700065721e-05 %	2.17859317864e-06 %	0.000165482607779 %
Inter	725205856392	370674812700	51383165526	794343780	4488579288	3251214207	55027	2987185	1038414	219277312411605	-563761594733562	-388448774526531	0.743868761264 %	0.109533558368 %	1.8338223406 %	0.000355683311621 %	7.58777656234e-06 %	0.000953802370215 %
Intra	22739716800	7880454432	4021936380	184200876	283055508	185760720	10934	21517	710922	1048767749628	-1804516468914	-1222961713821	1.88503861057 %	0.810040325568 %	3.93884082118 %	0.00214586539689 %	4.80832725234e-05 %	0.00615371324609 %
